threshold,sensitivity,specificity,precision,accuracy,f1,youden,tp,fp,fn,tn
0.3,0.9674399674399674,0.3914233576642336,0.7808804204993429,0.7897551365043625,0.8642065079076531,0.35886332510420105,2377,667,80,429
0.4,0.9348799348799349,0.49178832116788324,0.8048353188507358,0.7981987053194484,0.8649971756731313,0.4266682560478181,2297,557,160,539
0.5,0.8697598697598697,0.6131386861313869,0.8344396720031237,0.7905994933858711,0.8517337584695096,0.48289855589125663,2137,424,320,672
0.6,0.7598697598697599,0.7308394160583942,0.8635522664199815,0.7509147199549676,0.808400086598831,0.4907091759281541,1867,295,590,801
0.7,0.5409035409035409,0.8549270072992701,0.8931451612903226,0.6377708978328174,0.6737642585551331,0.39583054820281083,1329,159,1128,937
0.8,0.2254782254782255,0.9735401459854015,0.9502572898799314,0.4562341683084717,0.36447368421052634,0.1990183714636271,554,29,1903,1067
0.85,0.06674806674806674,0.9972627737226277,0.9820359281437125,0.35378553335209684,0.125,0.0640108404706945,164,3,2293,1093
0.9,0.002442002442002442,1.0,1.0,0.31016042780748665,0.0048721071863581,0.0024420024420024333,6,0,2451,1096
0.95,0.0,1.0,0.0,0.30847171404446944,0.0,0.0,0,0,2457,1096
0.5565565565565566,0.8144078144078144,0.6879562043795621,0.8540332906530089,0.7754010695187166,0.8337500000000001,0.5023640187873766,2001,342,456,754
