threshold,sensitivity,specificity,precision,accuracy,f1,youden,tp,fp,fn,tn
0.3,0.9926739926739927,0.36313868613138683,0.7774944214217405,0.7984801576132845,0.87200572041473,0.3558126788053795,2439,698,18,398
0.4,0.9743589743589743,0.4708029197080292,0.8049764626765299,0.8190261750633268,0.8816055974958571,0.44516189406700346,2394,580,63,516
0.5,0.9169719169719169,0.6094890510948905,0.8403580753450205,0.8221221502955249,0.8769949396652393,0.5264609680668073,2253,428,204,668
0.6,0.7724867724867724,0.760036496350365,0.8782970846830171,0.7686462144666479,0.8220008661758337,0.5325232688371373,1898,263,559,833
0.7,0.4875864875864876,0.9051094890510949,0.9201228878648233,0.6163805235012665,0.6374035647778664,0.3926959766375826,1198,104,1259,992
0.8,0.115995115995116,0.9954379562043796,0.9827586206896551,0.387278356318604,0.20749908991627233,0.11143307219949561,285,5,2172,1091
0.85,0.013431013431013432,1.0,1.0,0.3177596397410639,0.026506024096385545,0.013431013431013383,33,0,2424,1096
0.9,0.0,1.0,0.0,0.30847171404446944,0.0,0.0,0,0,2457,1096
0.95,0.0,1.0,0.0,0.30847171404446944,0.0,0.0,0,0,2457,1096
0.5715715715715716,0.8262108262108262,0.718978102189781,0.8682634730538922,0.7931325640303969,0.8467153284671532,0.5451889284006071,2030,308,427,788
