threshold,sensitivity,specificity,precision,accuracy,f1,youden,tp,fp,fn,tn
0.3,0.9943019943019943,0.11405109489051095,0.7155828939660223,0.7227694905713482,0.8322261965593595,0.1083530891925053,2443,971,14,125
0.4,0.9881969881969882,0.14507299270072993,0.7215453194650817,0.7281170841542358,0.8340776365510133,0.13326998089771802,2428,937,29,159
0.5,0.9776149776149776,0.19251824817518248,0.730757529662306,0.735434843793977,0.8363509749303621,0.17013322579016021,2402,885,55,211
0.6,0.9613349613349613,0.23357664233576642,0.7376639600249844,0.7368421052631579,0.8347764622724863,0.19491160367072768,2362,840,95,256
0.7,0.9397639397639398,0.3001824817518248,0.7506501950585176,0.7424711511398818,0.8346285920838606,0.23994642151576473,2309,767,148,329
0.8,0.8888888888888888,0.38047445255474455,0.7628361858190709,0.7320574162679426,0.8210526315789473,0.2693633414436334,2184,679,273,417
0.85,0.8518518518518519,0.43886861313868614,0.7728951255539144,0.7244582043343654,0.8104549854791869,0.29072046499053794,2093,615,364,481
0.9,0.7785917785917786,0.5328467153284672,0.7888659793814433,0.7027863777089783,0.7836952068824252,0.3114384939202459,1913,512,544,584
0.95,0.6377696377696378,0.6952554744525548,0.8243029984218833,0.6555023923444976,0.7191372189077558,0.33302511222219255,1567,334,890,762
0.9569569569569569,0.6092796092796092,0.7290145985401459,0.8344481605351171,0.6462144666479032,0.7043048694424842,0.33829420781975506,1497,297,960,799
