threshold,sensitivity,specificity,precision,accuracy,f1,youden,tp,fp,fn,tn
0.3,0.9088319088319088,0.47354014598540145,0.7946619217081851,0.774556712637208,0.8479210176571103,0.3823720548173102,2233,577,224,519
0.4,0.8591778591778592,0.5437956204379562,0.8085024894676369,0.7618913594145792,0.8330702446724546,0.4029734796158153,2111,500,346,596
0.5,0.7969067969067969,0.5994525547445255,0.8168544013350021,0.7359977483816493,0.8067573135558302,0.3963593516513224,1958,439,499,657
0.6,0.7175417175417176,0.6587591240875912,0.8249883013570426,0.699408950182944,0.7675228558989988,0.37630084162930877,1763,374,694,722
0.7,0.6202686202686203,0.7372262773722628,0.8410596026490066,0.6563467492260062,0.7139845397048489,0.35749489764088294,1524,288,933,808
0.8,0.48514448514448516,0.8166058394160584,0.8557071069633884,0.5873909372361384,0.6192207792207791,0.3017503245605435,1192,201,1265,895
0.85,0.38746438746438744,0.864963503649635,0.8654545454545455,0.5347593582887701,0.5352825414675288,0.25242789111402253,952,148,1505,948
0.9,0.2568172568172568,0.9142335766423357,0.8703448275862069,0.45961159583450606,0.3966059082338152,0.1710508334595926,631,94,1826,1002
0.95,0.12006512006512006,0.958941605839416,0.8676470588235294,0.3788347875035182,0.2109402931712549,0.07900672590453617,295,45,2162,1051
0.4494494494494494,0.8355718355718356,0.573905109489051,0.8146825396825397,0.7548550520686743,0.824994976893711,0.4094769450608866,2053,467,404,629
